Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol,Anomalie_ISO,Anomalie_DBSCAN,Anomalie_Final
2025-03-15,2,Wenzhou,WNZ,112,Shenzhen,SZX,19,SF Airlines,7277.0,O37277,-1,-1,-1
2025-03-15,2,Christchurch International,CHC,7,Auckland International,AKL,0,EVA Air,3248.0,BR3248,1,0,1
2025-03-15,2,Nausori,SUV,1,Nadi International,NAN,10,Fiji Airways,6.0,FJ6,1,0,1
2025-03-15,2,Nausori,SUV,1,Nadi International,NAN,10,Singapore Airlines,6146.0,SQ6146,1,0,1
2025-03-15,2,Auckland International,AKL,17,Wellington International,WLG,0,Air New Zealand,409.0,NZ409,1,0,1
2025-03-15,2,Auckland International,AKL,16,Christchurch International,CHC,2,Air New Zealand,523.0,NZ523,1,0,1
2025-03-15,2,Auckland International,AKL,10,Woodbourne Air Station,BHE,3,Air New Zealand,5201.0,NZ5201,1,0,1
2025-03-15,2,Shuangliu,CTU,18,Hangzhou,HGH,0,North-Western Cargo International Airlines,9643.0,CO9643,1,0,1
2025-03-15,2,Hamilton,HLZ,9,Wellington International,WLG,0,Air New Zealand,5527.0,NZ5527,1,0,1
2025-03-15,2,Nelson,NSN,5,Wellington International,WLG,0,Air New Zealand,5998.0,NZ5998,1,0,1
2025-03-15,2,Nelson,NSN,12,Christchurch International,CHC,1,Air New Zealand,5855.0,NZ5855,1,0,1
2025-03-15,2,Hong Kong International,HKG,40,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,11,EVA Air,6530.0,BR6530,-1,0,1
2025-03-15,2,Forest Hill,WGA,6,Sydney Kingsford Smith Airport,SYD,0,Rex Regional Express,6658.0,ZL6658,1,0,1
2025-03-15,2,Mactan-Cebu International,CEB,9,Ninoy Aquino International,MNL,1,China Airlines,9560.0,CI9560,1,0,1
2025-03-15,2,Mactan-Cebu International,CEB,9,Ninoy Aquino International,MNL,1,Philippine Airlines,2858.0,PR2858,1,0,1
2025-03-15,2,Mactan-Cebu International,CEB,29,Ninoy Aquino International,MNL,0,Cebu Pacific Air,560.0,5J560,1,0,1
