Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol
2025-03-15,landed,Tianhe International,WUH,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9015,CF9015
2025-03-15,landed,Woodbourne Air Station,BHE,1.0,Auckland International,AKL,,Air New Zealand,5208,NZ5208
2025-03-15,landed,Woodbourne Air Station,BHE,1.0,Auckland International,AKL,,Singapore Airlines,4370,SQ4370
2025-03-15,landed,Woodbourne Air Station,BHE,1.0,Auckland International,AKL,,Qantas,8508,QF8508
2025-03-15,landed,Cowra,CWT,2.0,Sydney Kingsford Smith Airport,SYD,3.0,Toll Aviation,,
2025-03-15,landed,New Plymouth,NPL,10.0,Auckland International,AKL,,Qantas,8502,QF8502
2025-03-15,landed,New Plymouth,NPL,10.0,Auckland International,AKL,,Singapore Airlines,4400,SQ4400
2025-03-15,landed,New Plymouth,NPL,10.0,Auckland International,AKL,,Air New Zealand,5030,NZ5030
2025-03-15,landed,New Plymouth,NPL,4.0,Wellington International,WLG,,Air New Zealand,5791,NZ5791
2025-03-15,landed,Fua'amotu International,TBU,,Nadi International,NAN,,Fiji Airways,212,FJ212
2025-03-15,landed,Seoul (Incheon),ICN,18.0,Shanghai Pudong International,PVG,,Atlas Air,8143,5Y8143
2025-03-15,landed,Seoul (Incheon),ICN,10.0,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,,Tigerair Taiwan,603,IT603
2025-03-15,landed,Seoul (Incheon),ICN,31.0,Shanghai Pudong International,PVG,,Atlas Air,8065,5Y8065
2025-03-15,landed,Seoul (Incheon),ICN,21.0,Shanghai Pudong International,PVG,,Atlas Air,811,5Y811
2025-03-15,landed,Mackay,MKY,,Mackay,MKY,,empty,,
2025-03-15,landed,Shenzhen,SZX,24.0,Noibai International,HAN,,Air China LTD,7977,CA7977
2025-03-15,landed,Guangzhou Baiyun International,CAN,,Hangzhou,HGH,,North-Western Cargo International Airlines,9635,CO9635
2025-03-15,landed,Guangzhou Baiyun International,CAN,1.0,Kota-Kinabalu International Airport,BKI,,AirAsia,1531,AK1531
2025-03-15,landed,Shenzhen,SZX,24.0,Noibai International,HAN,,Shenzhen Airlines,107,ZH107
2025-03-15,landed,Daguocun,SJW,10.0,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9005,CF9005
2025-03-15,landed,Nelson,NSN,9.0,Auckland International,AKL,,Air New Zealand,5064,NZ5064
2025-03-15,landed,Nelson,NSN,9.0,Auckland International,AKL,,Qantas,8475,QF8475
2025-03-15,landed,Hawkes Bay,NPE,1.0,Auckland International,AKL,,Air New Zealand,5002,NZ5002
2025-03-15,landed,Hawkes Bay,NPE,1.0,Auckland International,AKL,,Qantas,8469,QF8469
2025-03-15,landed,Penang International,PEN,6.0,Hong Kong International,HKG,,Cathay Pacific,5749,CX5749
2025-03-15,landed,Penang International,PEN,6.0,Hong Kong International,HKG,,Hong Kong Express,749,UO749
2025-03-15,landed,Auckland International,AKL,8.0,Queenstown,ZQN,,United Airlines,6747,UA6747
2025-03-15,landed,Haneda Airport,HND,16.0,Seoul (Incheon),ICN,,Virgin Atlantic,5530,VS5530
2025-03-15,landed,Haneda Airport,HND,16.0,Seoul (Incheon),ICN,,Air France,5367,AF5367
2025-03-15,landed,Haneda Airport,HND,16.0,Seoul (Incheon),ICN,,Japan Airlines,5257,JL5257
2025-03-15,landed,Haneda Airport,HND,20.0,Seoul (Incheon),ICN,,ANA,6895,NH6895
2025-03-15,landed,Goa International,GOI,,Hyderabad Airport,HYD,,IndiGo,206,6E206
2025-03-15,landed,Palmerston North,PMR,2.0,Christchurch International,CHC,,Air New Zealand,5189,NZ5189
2025-03-15,landed,Palmerston North,PMR,2.0,Christchurch International,CHC,,Singapore Airlines,4530,SQ4530
2025-03-15,landed,Auckland International,AKL,8.0,Dunedin International,DUD,,United Airlines,6738,UA6738
2025-03-15,landed,Shanghai Pudong International,PVG,17.0,Haneda Airport,HND,,Peach Aviation,876,MM876
2025-03-15,landed,Tianjin Binhai International,TSN,41.0,Nanjing Lukou International Airport,NKG,13.0,China Postal Airlines,9101,CF9101
2025-03-15,landed,Shenyang,SHE,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9049,CF9049
2025-03-15,landed,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,25.0,Haneda Airport,HND,7.0,Tigerair Taiwan,216,IT216
